date,price_inr
2023-06-06,5951.929999999999
2023-06-07,6019.16
2023-06-08,5916.24
2023-06-09,5823.28
2023-06-12,5567.639999999999
2023-06-13,5759.37
2023-06-14,5662.26
2023-06-15,5860.63
2023-06-16,5960.2300000000005
2023-06-20,5888.0199999999995
2023-06-21,6021.65
2023-06-22,5745.26
2023-06-23,5719.53
2023-06-26,5734.47
2023-06-27,5617.4400000000005
2023-06-28,5771.820000000001
2023-06-29,5797.549999999999
2023-06-30,5864.78
2023-07-03,5785.929999999999
2023-07-05,5957.74
2023-07-06,5956.080000000001
2023-07-07,6134.53
2023-07-10,6063.15
2023-07-11,6214.21
2023-07-12,6288.91
2023-07-13,6379.38
2023-07-14,6261.5199999999995
2023-07-17,6156.110000000001
2023-07-18,6288.080000000001
2023-07-19,6258.200000000001
2023-07-20,6278.950000000001
2023-07-21,6395.9800000000005
2023-07-24,6541.2300000000005
2023-07-25,6620.080000000001
2023-07-26,6566.13
2023-07-27,6654.110000000001
2023-07-28,6685.65
2023-07-31,6789.4
2023-08-01,6753.71
2023-08-02,6598.5
2023-08-03,6769.4800000000005
2023-08-04,6869.080000000001
2023-08-07,6801.0199999999995
2023-08-08,6884.0199999999995
2023-08-09,7001.049999999999
2023-08-10,6873.2300000000005
2023-08-11,6903.110000000001
2023-08-14,6847.5
2023-08-15,6727.9800000000005
2023-08-16,6590.200000000001
2023-08-17,6675.6900000000005
2023-08-18,6743.75
2023-08-21,6698.929999999999
2023-08-22,6660.75
2023-08-23,6549.53
2023-08-24,6600.16
2023-08-25,6679.01
2023-08-28,6693.950000000001
2023-08-29,6734.62
2023-08-30,6776.12
2023-08-31,6934.65
2023-09-01,7098.16
2023-09-05,7199.419999999999
2023-09-06,7266.65
2023-09-07,7210.21
2023-09-08,7263.330000000001
2023-09-11,7245.9
2023-09-12,7376.21
2023-09-13,7352.97
2023-09-14,7480.79
2023-09-15,7538.889999999999
2023-09-18,7592.01
2023-09-19,7566.28
2023-09-20,7403.6
2023-09-21,7433.4800000000005
2023-09-22,7470.0
2023-09-25,7443.4400000000005
2023-09-26,7588.6900000000005
2023-09-27,7774.610000000001
2023-09-28,7606.950000000001
2023-09-29,7533.91
2023-10-02,7371.2300000000005
2023-10-03,7408.580000000001
2023-10-04,6998.5599999999995
2023-10-05,6830.9
2023-10-06,6874.889999999999
2023-10-10,7128.87
2023-10-11,6947.1
2023-10-12,6878.21
2023-10-13,7276.610000000001
2023-10-16,7191.950000000001
2023-10-17,7192.78
2023-10-18,7333.049999999999
2023-10-19,7416.049999999999
2023-10-20,7396.96
2023-10-23,7095.669999999999
2023-10-24,7020.139999999999
2023-10-25,7143.8099999999995
2023-10-26,6955.4
2023-10-27,7141.320000000001
2023-10-30,6891.49
2023-10-31,6776.12
2023-11-01,6727.15
2023-11-02,6892.320000000001
2023-11-03,6738.7699999999995
2023-11-06,6767.820000000001
2023-11-07,6470.679999999999
2023-11-08,6295.549999999999
2023-11-09,6336.22
2023-11-13,6545.38
2023-11-14,6548.700000000001
2023-11-15,6403.450000000001
2023-11-16,6100.5
2023-11-17,6347.01
2023-11-20,6482.299999999999
2023-11-21,6503.049999999999
2023-11-22,6374.4
2023-11-24,6210.889999999999
2023-11-27,6180.179999999999
2023-11-28,6315.47
2023-11-29,6437.4800000000005
2023-11-30,6279.78
2023-12-01,6117.1
2023-12-04,6036.59
2023-12-05,5971.85
2023-12-06,5725.34
